url,time,reactions,comments,impressions
https://www.linkedin.com/analytics/post-summary/urn:li:activity:7009532728308060161/,2022-12-16 16:00:33,21,4,1286
https://www.linkedin.com/analytics/post-summary/urn:li:activity:7008415547532935168/,2022-12-13 14:01:16,19,2,1800
https://www.linkedin.com/analytics/group-post-summary/urn:li:activity:7007394615033004032/,2022-12-10 18:24:27,1,0,308
https://www.linkedin.com/analytics/post-summary/urn:li:activity:7007367771458031617/,2022-12-10 16:37:47,23,4,1957
https://www.linkedin.com/analytics/post-summary/urn:li:activity:7003375591139770368/,2022-11-29 16:14:17,4,1,642
https://www.linkedin.com/analytics/post-summary/urn:li:activity:7002622125551280128/,2022-11-27 14:20:17,8,0,1140
https://www.linkedin.com/analytics/post-summary/urn:li:activity:7000046707879071744/,2022-11-20 11:46:29,4,0,538
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6998349952791805952/,2022-11-15 19:24:11,11,0,1033
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6997598490402914304/,2022-11-13 17:38:09,5,1,570
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6997328521228394496/,2022-11-12 23:45:23,3,1,402
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6996868570278199296/,2022-11-11 17:17:42,3,1,413
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6996577923432378368/,2022-11-10 22:02:47,3,1,420
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6996134867428155392/,2022-11-09 16:42:14,3,1,499
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6995769408719581185/,2022-11-08 16:30:02,2,1,436
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6995445582634905600/,2022-11-07 19:03:15,4,1,769
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6995111856239476736/,2022-11-06 20:57:09,88,0,8864
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6991062999163670529/,2022-10-26 17:48:26,8,1,1302
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6990654324561297409/,2022-10-25 14:44:31,2,0,629
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6982286614332895232/,2022-10-02 12:34:13,5,0,771
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6974275719933632512/,2022-09-10 10:01:47,14,0,1375
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6971042089388101632/,2022-09-01 11:52:29,29,5,2299
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6969977201953751040/,2022-08-29 13:21:00,22,3,4845
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6966334567062376450/,2022-08-19 12:06:29,8,0,865
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6956988289207701504/,2022-07-24 17:07:42,12,1,1143
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6952896234286153729/,2022-07-13 10:07:20,11,0,1059
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6933458991960240128/,2022-05-20 18:50:41,10,0,639
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6924276559285477376/,2022-04-25 10:42:58,30,1,1816
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6922262308618416129/,2022-04-19 21:19:03,14,0,926
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6916717726421893120/,2022-04-04 14:06:52,8,1,751
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6914977030350548992/,2022-03-30 18:49:58,7,1,892
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6913814926989873152/,2022-03-27 13:52:11,24,2,4012
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6911375918565314560/,2022-03-20 19:20:26,9,1,667
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6906259110187405312/,2022-03-06 16:28:03,126,3,37096
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6904855822984458240/,2022-03-02 19:31:54,13,0,570
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6899355298231107584/,2022-02-15 15:14:46,13,1,1205
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6898578818756669440/,2022-02-13 11:49:19,9,1,1344
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6897949101569499136/,2022-02-11 18:07:03,11,0,641
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6892174499937411072/,2022-01-26 19:40:51,14,1,993
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6891071728177811456/,2022-01-23 18:38:49,5,0,592
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6888123356172836864/,2022-01-15 15:23:03,10,1,800
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6883319657843982336/,2022-01-02 09:14:52,10,0,1805
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6879738355190386688/,2021-12-23 12:04:03,10,1,821
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6868510227386433536/,2021-11-22 12:27:28,9,1,1062
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6867153067100422144/,2021-11-18 18:34:36,6,0,551
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6856267690940669952/,2021-10-19 18:40:00,21,0,2442
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6850820573904416768/,2021-10-04 17:55:06,6,2,534
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6846101622859341825/,2021-09-21 17:23:41,5,3,1098
https://www.linkedin.com/analytics/post-summary/urn:li:activity:6844595261382168576/,2021-09-17 13:37:56,12,0,1119
